T type	emm type	PFGE Sma80	PFGE SFi68	T type + emm type
4	4	0008	0010	44
12	22	0009	0003	1222
NT	22	0009	0013	NT22
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0016	1222
4	4	0008	0010	44
4	4	0008	0010	44
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0003	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	2	0007	0009	122
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	12	0001	0014	1212
28	28	0011	0006	2828
13	77	0012	0003	1377
13	11	0019	0013	1311
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
4	4	0008	0010	44
13	12	0001	0021	1312
28	28	0011	0017	2828
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0011	0017	1222
4	4	0008	0010	44
12	11	0019	0013	1211
12	22	0009	0013	1222
12	11	0019	0013	1211
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0011	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0011	0017	1222
12	22	0009	0013	1222
13	1	0017	0005	131
12	22	0009	0013	1222
2	2	0007	0010	22
28	28	0011	0017	2828
2	2	0007	0010	22
12	22	0009	0013	1222
12	12	0001	0021	1212
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
13	77	0012	0008	1377
12	22	0009	0013	1222
12	12	0001	0021	1212
12	22	0009	0013	1222
12	22	0009	0013	1222
12	12	0001	0021	1212
12	22	0009	0017	1222
6	6	0021	0015	66
12	22	0011	0017	1222
12	12	0002	0021	1212
12	4	0008	0010	124
12	22	0009	0013	1222
B3264	89	0016	0014	B326489
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	9	0004	0002	129
12	22	0011	0017	1222
1	1	0017	0001	11
13	4	0008	0010	134
1	1	0017	0001	11
1	1	0017	0001	11
28	28	0011	0017	2828
9	9	0005	0012	99
9	9	0005	0012	99
12	22	0009	0013	1222
12	22	0011	0017	1222
12	22	0011	0017	1222
12	12	0002	0021	1212
6	75	0006	0011	675
12	12	0008	0010	1212
12	22	0009	0013	1222
12	22	0009	0013	1222
NT	12	0001	0021	NT12
12	22	0009	0013	1222
12	22	0009	0013	1222
13	77	0012	0016	1377
13	22	0009	0013	1322
13	22	0009	0013	1322
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
NT	12	0001	0021	NT12
12	12	0001	0021	1212
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0016	1222
12	22	0009	0013	1222
12	22	0003	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	12	0002	0021	1212
28	28	0011	0017	2828
12	22	0009	0013	1222
12	12	0002	0021	1212
12	4	0008	0010	124
13	22	0009	0013	1322
4	4	0008	0010	44
12	22	0009	0013	1222
12	22	0009	0017	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	12	0001	0021	1212
12	22	0009	0013	1222
28	28	0011	0017	2828
12	22	0003	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
NT	12	0002	0021	NT12
28	28	0011	0017	2828
12	22	0009	0013	1222
4	4	0008	0010	44
9	9	0005	0012	99
28	28	0011	0017	2828
4	4	0008	0010	44
12	22	0009	0017	1222
4	4	0008	0010	44
12	22	0009	0013	1222
28	28	0011	0017	2828
28	28	0011	0017	2828
12	22	0009	0013	1222
1	1	0017	0021	11
NT	12	0001	0021	NT12
9	9	0005	0012	99
12	22	0010	0008	1222
12	12	0001	0004	1212
NT	12	0020	0018	NT12
12	12	0020	0019	1212
4	4	0008	0016	44
28	28	0011	0017	2828
28	28	0011	0017	2828
4	4	0008	0016	44
12	22	0009	0013	1222
12	12	0002	0021	1212
1	1	0017	0001	11
9	9	0005	0012	99
4	4	0008	0016	44
28	28	0011	0017	2828
9	9	0005	0003	99
12	22	0009	0013	1222
1	1	0017	0001	11
12	22	0009	0013	1222
12	22	0009	0013	1222
12	22	0009	0013	1222
12	12	0001	0021	1212
12	22	0009	0013	1222
28	28	0011	0017	2828
25	22	0009	0013	2522
12	22	0009	0013	1222
1	1	0013	0001	11
4	4	0008	0010	44
4	4	0008	0010	44
12	22	0009	0003	1222
25	75	0015	0010	2575
28	28	0011	0017	2828
1	1	0017	0001	11
28	28	0011	0017	2828
1	1	0017	0001	11
12	12	0001	0021	1212
12	22	0009	0013	1222
12	22	0009	0013	1222
1	1	0017	0001	11
28	28	0011	0017	2828
28	28	0011	0017	2828
28	28	0011	0017	2828
28	28	0011	0017	2828
1	1	0017	0005	11
12	22	0009	0013	1222
12	22	0009	0013	1222
1	1	0013	0001	11
1	1	0014	0020	11
1	4	0008	0010	14
1	1	0018	0001	11
12	22	0009	0013	1222
1	1	0017	0001	11
12	12	0001	0013	1212
1	1	0018	0001	11
B3264	89	0016	0014	B326489
25	75	0015	0010	2575
25	75	0015	0021	2575
1	1	0017	0001	11
12	22	0009	0013	1222
NT	1	0007	0005	NT1
12	12	0002	0021	1212
4	4	0008	0010	44
12	22	0009	0013	1222
28	28	0011	0017	2828
28	28	0011	0017	2828
13	4	0008	0010	134
28	28	0011	0017	2828
28	28	0011	0017	2828
12	22	0009	0013	1222
28	28	0011	0017	2828
25	75	0015	0010	2575
1	1	0017	0001	11
25	75	0015	0010	2575
1	1	0017	0001	11
1	1	0017	0001	11
NT	4	0008	0010	NT4
12	12	0001	0015	1212
NT	28	0011	0006	NT28
1	1	0017	0001	11
1	1	0017	0001	11
4	4	0008	0010	44
4	4	0008	0010	44
12	12	0002	0021	1212
4	4	0008	0010	44
9	9	0005	0012	99
1	1	0017	0001	11
4	4	0008	0010	44
4	4	0008	0010	44
1	1	0017	0010	11
12	22	0009	0013	1222
28	28	0011	0016	2828
1	1	0017	0001	11
1	1	0017	0001	11
1	1	0017	0001	11
4	4	0008	0010	44
1	1	0017	0001	11
NT	28	0011	0017	NT28
28	28	0011	0017	2828
12	22	0009	0013	1222
12	22	0009	0013	1222
25	75	0015	0016	2575
9	9	0005	0012	99
12	12	0001	0021	1212
28	28	0011	0017	2828
12	12	0001	0021	1212
25	75	0015	0010	2575
25	75	0015	0010	2575
28	28	0011	0017	2828
28	28	0011	0016	2828
1	1	0018	0001	11
12	22	0011	0017	1222
12	12	0001	0021	1212
12	22	0009	0013	1222
1	1	0017	0001	11
1	1	0017	0001	11
1	1	0017	0001	11
1	1	0017	0001	11
1	1	0017	0001	11
12	22	0009	0016	1222
12	22	0009	0013	1222
NT	1	0017	0001	NT1
25	75	0015	0010	2575
12	22	0009	0013	1222
1	1	0017	0001	11
13	1	0017	0001	131
5/27/44	4	0008	0010	5/27/444
12	22	0011	0016	1222
25	75	0015	0010	2575
28	28	0011	0017	2828
1	4	0008	0010	14
2	12	0001	0021	212
B3264	4	0008	0010	B32644
4	4	0008	0010	44
4	4	0008	0010	44
6	4	0008	0010	64
4	4	0008	0010	44
NT	12	0001	0021	NT12
12	12	0008	0010	1212
12	12	0002	0021	1212
13	4	0008	0010	134
1	1	0017	0001	11
1	1	0017	0001	11
25	75	0015	0010	2575
4	4	0008	0010	44
12	12	0002	0021	1212
1	1	0017	0001	11
12	22	0011	0013	1222
4	4	0008	0010	44
28	28	0011	0017	2828
2	2	0007	0011	22
28	28	0011	0017	2828
2	4	0007	0011	24
12	22	0009	0013	1222
4	4	0008	0007	44
12	22	0009	0013	1222
5/27/44	4	0008	0010	5/27/444
4	4	0008	0010	44
4	4	0008	0010	44
B3264	4	0008	0010	B32644
12	22	0011	0017	1222
4	4	0008	0007	44
4	4	0008	0006	44
